,Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,OBV,ADX,STOCH
0,2009-05-22,198.528534,199.524521,196.196198,196.946945,196.946945,3433700.0,0.0,0.0,0.0,0.0,0.0
1,2009-05-26,196.171173,202.702698,195.19519,202.382385,202.382385,6202700.0,0.0,100.0,6202700.0,0.0,0.0
2,2009-05-27,203.023026,206.136139,202.607605,202.982986,202.982986,6062500.0,0.0,100.0,12265200.0,0.0,0.0
3,2009-05-28,204.54454,206.016022,202.507507,205.405411,205.405411,5332200.0,0.0,100.0,17597400.0,0.0,0.0
4,2009-05-29,206.261261,208.823822,205.555557,208.823822,208.823822,5291100.0,0.0,100.0,22888500.0,0.0,0.0
5,2009-06-01,209.57457,215.015015,209.474472,213.4935,213.4935,6638100.0,0.0,100.0,29526600.0,0.0,0.0
6,2009-06-02,213.338333,215.19519,211.911911,214.414413,214.414413,5241900.0,0.0,100.0,34768500.0,0.0,0.0
7,2009-06-03,213.213211,216.446442,212.212219,216.041046,216.041046,7058500.0,0.0,100.0,41827000.0,0.0,0.0
8,2009-06-04,217.867874,220.840836,217.467468,220.360367,220.360367,7268900.0,0.0,100.0,49095900.0,0.0,0.0
9,2009-06-05,222.757751,223.89389,219.949951,222.382385,222.382385,7354200.0,0.0,100.0,56450100.0,0.0,0.0
10,2009-06-08,219.969971,220.680679,217.277283,219.604599,219.604599,6191200.0,0.0,86.34700386656068,50258900.0,0.0,0.0
11,2009-06-09,219.509506,220.470474,216.0961,218.02803,218.02803,6503200.0,211.73882408333336,79.6963367876819,43755700.0,0.0,0.0
12,2009-06-10,218.333328,219.164169,213.548553,216.51651,216.51651,6711000.0,213.36962116666663,73.82537572381362,37044700.0,0.0,0.0
13,2009-06-11,216.101105,217.082077,214.399399,214.714722,214.714722,5724600.0,214.39731591666668,67.44702877928083,31320100.0,0.0,68.01538745657467
14,2009-06-12,213.643646,214.064072,210.815811,212.632629,212.632629,5830900.0,215.2014528333333,60.89922908991441,25489200.0,100.0,60.760379390007245
15,2009-06-15,210.960968,210.960968,207.207214,208.593597,208.593597,7466300.0,215.467135,50.63069784362188,18022900.0,100.0,28.457780822498062
16,2009-06-16,209.864868,210.755753,207.917923,208.208206,208.208206,6093300.0,215.41583366666663,49.76839634920046,11929600.0,100.0,26.655741646448522
17,2009-06-17,208.303299,210.070068,205.985992,207.787781,207.787781,6973200.0,214.9403570833333,48.79213367861556,4956400.0,100.0,12.172447735571176
18,2009-06-18,208.04805,209.55455,206.706711,207.237244,207.237244,6164200.0,214.34225966666668,47.47874011092599,-1207800.0,100.0,6.987151702561599
19,2009-06-19,209.314316,210.440445,207.497498,210.255249,210.255249,8509600.0,213.8601099166667,54.68063841408362,7301800.0,95.10209255491023,23.84007883002229
20,2009-06-22,208.683685,208.953949,201.146149,203.878876,203.878876,8240500.0,212.48665233333332,41.67741405059636,-938700.0,93.63253434238587,12.013179682325308
21,2009-06-23,203.528534,204.699707,201.476471,203.043045,203.043045,5793400.0,210.87504066666668,40.32375922329828,-6732100.0,92.5373731579594,8.338832414172462
22,2009-06-24,204.57457,206.32132,203.48349,204.849854,204.849854,4910600.0,209.64547858333333,44.51875765740625,-1821500.0,88.266267582938,16.28163869106821
23,2009-06-25,203.703705,208.158157,203.458466,208.093094,208.093094,6082900.0,208.81756725,51.15607290814684,4261400.0,81.95884528360743,35.562386195111955
24,2009-06-26,207.047043,214.32933,206.761765,212.872879,212.872879,6506800.0,208.5139313333333,58.950257140993685,10768200.0,71.75985890497077,60.68377550056735
25,2009-06-29,213.213211,214.11412,211.331329,212.282288,212.282288,4334200.0,208.3112285,57.72455807439675,6434000.0,63.344918149785414,61.805564651387876
26,2009-06-30,212.212219,213.818817,209.319321,211.006012,211.006012,5182600.0,208.1756770833333,55.06028305578759,1251400.0,57.055393092901106,61.871909812845516
27,2009-07-01,212.312317,213.413406,209.284286,209.704712,209.704712,4616900.0,208.26827,52.40443054959689,-3365500.0,51.74743013241451,64.9203177897656
28,2009-07-02,207.912918,207.912918,203.608612,204.449448,204.449448,5030100.0,207.9550401666667,43.317266862952,-8395600.0,49.65265967605973,25.056919115348443
29,2009-07-06,203.453461,205.525528,201.031036,205.01001,205.01001,4520600.0,207.72355925,44.42429616387565,-3875000.0,48.62340544392795,29.920935723033303
30,2009-07-07,204.324326,204.799805,198.188187,198.513519,198.513519,6512000.0,206.99658216666663,35.717969377065046,-10387000.0,48.394792668801855,2.0155449957912093
