Date,Open,High,Low,Close,Volume,SMA,RSI,OBV
2020-03-16,3.93,4.57,3.9,4.37,4866696.0,0.0,0.0,0.0
2020-03-17,4.4,4.65,4.11,4.23,3562210.0,0.0,0.0,-3562210.0
2020-03-18,4.1,4.25,3.5,3.77,3651709.0,0.0,0.0,-7213919.0
2020-03-19,3.71,4.2,3.55,4.19,5039539.0,0.0,43.3948339483395,-2174380.0
2020-03-20,4.08,4.08,3.65,3.76,7722194.0,0.0,29.351457205391085,-9896574.0
2020-03-23,3.58,3.86,3.5,3.81,6009784.0,0.0,32.102963843998666,-3886790.0
2020-03-24,3.95,4.21,3.89,4.16,6805659.0,0.0,47.51294987818582,2918869.0
2020-03-25,4.15,4.49,4.04,4.17,3592059.0,0.0,47.87694696949817,6510928.0
2020-03-26,4.24,4.71,4.24,4.41,6210979.0,0.0,55.79955724330571,12721907.0
2020-03-27,4.94,5.09,4.15,4.22,7024763.0,0.0,49.39814064273917,5697144.0
2020-03-30,4.22,4.27,3.65,3.65,3350571.0,0.0,36.04022333837701,2346573.0
2020-03-31,3.63,3.8,3.5,3.5,2304132.0,4.0200000000000005,33.4748648258594,42441.0
2020-04-01,3.45,3.49,3.12,3.25,4568695.0,3.926666666666667,29.682620842999555,-4526254.0
2020-04-02,3.26,3.35,2.85,2.85,4064339.0,3.811666666666667,24.834835393912385,-8590593.0
2020-04-03,2.85,2.94,2.57,2.8,3830761.0,3.7308333333333334,24.300575707085457,-12421354.0
2020-04-06,2.86,3.2,2.83,3.09,3331070.0,3.6391666666666667,33.26745792616856,-9090284.0
2020-04-07,3.39,3.44,3.1,3.27,2836859.0,3.598333333333333,38.163581881483985,-6253425.0
2020-04-08,3.23,3.67,3.2,3.41,2884528.0,3.565,41.743703819955776,-3368897.0
2020-04-09,3.6,4.25,3.49,3.89,5908916.0,3.5425000000000004,52.003932381073824,2540019.0
2020-04-13,4.25,4.76,4.16,4.74,6844501.0,3.59,64.07141435499608,9384520.0
2020-04-14,5.21,6.47,5.14,5.95,13506630.0,3.7183333333333337,74.06711040055531,22891150.0
2020-04-15,5.66,5.67,4.9,5.27,7499854.0,3.8058333333333327,63.393194363862534,15391296.0
2020-04-16,5.12,5.44,4.88,5.03,3371921.0,3.920833333333333,60.101132064088745,12019375.0
2020-04-17,5.22,5.28,4.43,4.88,5653188.0,4.035833333333334,58.07133816178701,6366187.0
2020-04-20,4.85,5.9,4.78,5.61,6085011.0,4.2325,64.37681977445388,12451198.0
2020-04-21,5.23,5.3,4.76,4.78,4142050.0,4.3933333333333335,54.36590431956999,8309148.0
2020-04-22,5.14,5.17,4.83,4.89,2678133.0,4.5675,55.35673512215804,10987281.0
2020-04-23,4.75,4.89,4.58,4.7,2265853.0,4.701666666666666,53.20776362480282,8721428.0
2020-04-24,4.78,4.85,4.66,4.77,2236544.0,4.826666666666667,53.91754551218687,10957972.0
2020-04-27,4.85,5.99,4.81,5.82,7275138.0,5.0275,62.98700292213008,18233110.0
2020-04-28,5.92,6.04,5.06,5.64,5200189.0,5.173333333333333,60.778668834348906,13032921.0
2020-04-29,5.83,6.09,5.45,6.04,3370045.0,5.281666666666667,63.81477709920798,16402966.0
2020-04-30,5.87,5.98,5.64,5.73,2173530.0,5.263333333333333,59.94208344089904,14229436.0
2020-05-01,5.65,6.18,5.45,6.05,4005598.0,5.328333333333334,62.47371460270701,18235034.0
2020-05-04,5.84,5.93,5.4,5.48,4068105.0,5.365833333333334,55.718751065631146,14166929.0
2020-05-05,5.55,5.63,5.35,5.39,2105919.0,5.408333333333334,54.71282251054499,12061010.0
2020-05-06,5.4,5.4,4.9,4.93,3369640.0,5.351666666666667,49.7673241774924,8691370.0
2020-05-07,4.83,4.94,4.65,4.87,2501195.0,5.359166666666667,49.1433539963935,6190175.0
2020-05-08,4.88,5.19,4.82,4.98,2353661.0,5.366666666666667,50.3718500033141,8543836.0
2020-05-11,4.92,4.96,4.75,4.76,1699158.0,5.371666666666667,47.88069277526026,6844678.0
2020-05-12,4.78,4.92,4.46,4.54,2639157.0,5.3525,45.459535961241244,4205521.0
2020-05-13,4.54,4.54,4.07,4.21,2882877.0,5.218333333333333,42.02662199464081,1322644.0
