Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,OBV
2009-05-22,198.528534,199.524521,196.196198,196.946945,196.946945,3433700.0,0.0,0.0,0.0
2009-05-26,196.171173,202.702698,195.19519,202.382385,202.382385,6202700.0,0.0,100.0,6202700.0
2009-05-27,203.023026,206.136139,202.607605,202.982986,202.982986,6062500.0,0.0,100.0,12265200.0
2009-05-28,204.54454,206.016022,202.507507,205.405411,205.405411,5332200.0,0.0,100.0,17597400.0
2009-05-29,206.261261,208.823822,205.555557,208.823822,208.823822,5291100.0,0.0,100.0,22888500.0
2009-06-01,209.57457,215.015015,209.474472,213.4935,213.4935,6638100.0,0.0,100.0,29526600.0
2009-06-02,213.338333,215.19519,211.911911,214.414413,214.414413,5241900.0,0.0,100.0,34768500.0
2009-06-03,213.213211,216.446442,212.212219,216.041046,216.041046,7058500.0,0.0,100.0,41827000.0
2009-06-04,217.867874,220.840836,217.467468,220.360367,220.360367,7268900.0,0.0,100.0,49095900.0
2009-06-05,222.757751,223.89389,219.949951,222.382385,222.382385,7354200.0,0.0,100.0,56450100.0
2009-06-08,219.969971,220.680679,217.277283,219.604599,219.604599,6191200.0,0.0,86.34700386656068,50258900.0
2009-06-09,219.509506,220.470474,216.0961,218.02803,218.02803,6503200.0,211.73882408333336,79.6963367876819,43755700.0
2009-06-10,218.333328,219.164169,213.548553,216.51651,216.51651,6711000.0,213.36962116666666,73.82537572381362,37044700.0
2009-06-11,216.101105,217.082077,214.399399,214.714722,214.714722,5724600.0,214.39731591666668,67.44702877928083,31320100.0
2009-06-12,213.643646,214.064072,210.815811,212.632629,212.632629,5830900.0,215.20145283333332,60.89922908991441,25489200.0
2009-06-15,210.960968,210.960968,207.207214,208.593597,208.593597,7466300.0,215.46713499999998,50.63069784362188,18022900.0
2009-06-16,209.864868,210.755753,207.917923,208.208206,208.208206,6093300.0,215.41583366666666,49.76839634920046,11929600.0
2009-06-17,208.303299,210.070068,205.985992,207.787781,207.787781,6973200.0,214.9403570833333,48.79213367861556,4956400.0
2009-06-18,208.04805,209.55455,206.706711,207.237244,207.237244,6164200.0,214.34225966666668,47.47874011092599,-1207800.0
2009-06-19,209.314316,210.440445,207.497498,210.255249,210.255249,8509600.0,213.8601099166667,54.68063841408362,7301800.0
2009-06-22,208.683685,208.953949,201.146149,203.878876,203.878876,8240500.0,212.48665233333335,41.67741405059636,-938700.0
2009-06-23,203.528534,204.699707,201.476471,203.043045,203.043045,5793400.0,210.87504066666668,40.32375922329828,-6732100.0
